"","category","basalt","chert","limestone","quartz","sandstone","total"
"1","complete flake",0,141,46,1,1,189
"2","flake breaks",0,6,0,0,0,6
"3","cores",2,208,38,0,0,248
"4","debris",8,569,190,1,1,769
"5","retouched flakes and breaks",10,736,192,1,4,943
"6","retouched chunks",0,43,13,0,0,56
"7","backed knife",0,5,2,0,0,7
"8","bec",0,6,1,0,0,7
"9","borer",0,47,17,0,0,64
"10","bur",0,5,1,0,0,6
"11","chopper",1,1,0,0,0,2
"12","cleaver",0,1,0,0,0,1
"13","denticulate",1,53,21,0,1,76
"14","endscraper",0,30,6,0,0,36
"15","natural backed",0,3,2,0,0,5
"16","notch",1,68,10,0,0,79
"17","point",0,23,5,0,0,28
"18","scraper",7,464,124,1,3,599
"19","tanged point",0,8,1,0,0,9
"20","unidentifiable",0,22,2,0,0,24
